"recordID","QCLUSTER","QNUMBER","QLINE","QHDIVISION","QHDISTRICT","QHTYPE","QHQTYPE","QRTYPE","QINTNUM","QRESULT","QWEIGHT_UF","UF104","UF106","UF107","UF108","UF201","UF206","UF207","UF315A","UF315B","UF315C","UF315D","UF702C","UF302","UF303","Domain","Strata","QHWLTHF","QHWLTHI"
41,1004,34,6,2,12,"Other urban","Type A","Unarried Female",66,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,0.97634125,4
42,1004,36,3,2,12,"Other urban","Type A","Unarried Female",66,"Completed",3.488727228,"Yes, school/college",5,"No","K","No","Not at all","No","No","No","No","No","Somtimes",13,"No","East",201,-0.2052312,3
43,1004,36,4,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes, school/college",7,"No","K","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,-0.2052312,3
44,1004,39,7,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","Yes","No","Always",13,"No","East",201,-0.71213759,3
45,1004,53,3,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","Smart phone","At least once a week","No","Yes","Yes","No","No","Always",11,"No","East",201,2.0921587,5
47,1004,131,9,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes, school/college",5,"No","H","No","Not at all","No","No","No","No","No","Always",10,"No","East",201,-0.29790979,3
48,1004,138,6,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes both",5,"No","H","No","Not at all","No","No","Yes","No","No","Somtimes",14,"No","East",201,-0.88208864,2
49,1004,138,7,2,12,"Other urban","Type A","Unarried Female",63,"Completed",3.488727228,"Yes, madrasa",5,"No","K","No","Not at all","No","No","No","No","No","Somtimes",13,"No","East",201,-0.88208864,2
50,1004,139,4,2,12,"Other urban","Type A","Unarried Female",66,"Completed",3.488727228,"Yes both",6,"No","Z","No","Not at all","No","Yes","Yes","No","No","Always",12,"No","East",201,0.25392324,4
68,1006,1,3,2,13,"Urban","Type A","Unarried Female",15,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","Yes","No","No","No","Always",12,"Yes","East",201,-0.8679115,2
70,1006,14,3,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Most of the time",14,"No","East",201,0.99120282,4
71,1006,41,4,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","At least once a week","No","Yes","Yes","No","Yes","Somtimes",12,"No","East",201,1.2961852,4
72,1006,60,3,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",12,"No","East",201,-0.22276204,3
73,1006,71,3,2,13,"Urban","Type A","Unarried Female",75,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","No","Less than one a week","Yes","No","Yes","No","No","Somtimes",16,"Yes","East",201,-0.56264643,3
74,1006,72,3,2,13,"Urban","Type A","Unarried Female",73,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","Yes","Yes","Yes","No","Yes","Always",12,"No","East",201,0.42164447,4
75,1006,92,3,2,13,"Urban","Type A","Unarried Female",15,"Completed",3.488727228,"Yes, school/college",5,"No","CK","Yes , basic mobile phone `","Not at all","No","No","No","No","No","Always",11,"No","East",201,-0.27625027,3
76,1006,136,6,2,13,"Urban","Type A","Unarried Female",73,"Completed",3.488727228,"Yes both",7,"No","K","No","Not at all","No","No","No","No","No","Somtimes",13,"No","East",201,-0.95417759,2
77,1006,140,3,2,13,"Urban","Type A","Unarried Female",75,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","No","No","Somtimes",13,"Yes","East",201,1.128795,4
78,1006,162,5,2,13,"Urban","Type A","Unarried Female",75,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",13,"Yes","East",201,-0.04636507,3
79,1006,168,3,2,13,"Urban","Type A","Unarried Female",20,"Completed",3.488727228,"Yes, madrasa",10,"Yes , madrasa"," ","No","Not at all","No","No","Yes","No","Yes","Always",13,"No","East",201,1.4788738,5
91,1008,4,4,2,13,"Urban","Type A","Unarried Female",13,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","No","No","No","No","Always",14,"No","East",201,2.3668144,5
92,1008,28,5,2,13,"Urban","Type A","Unarried Female",54,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","Yes","Always",13,"No","East",201,3.9502158,5
93,1008,29,5,2,13,"Urban","Type A","Unarried Female",54,"Completed",3.488727228,"Yes, school/college",7,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",12,"No","East",201,2.0101419,5
94,1008,54,7,2,13,"Urban","Type A","Unarried Female",62,"Completed",3.488727228,"Yes, madrasa",10,"Yes , madrasa"," ","No","Not at all","No","Yes","Yes","No","Yes","Never agree",14,"Yes","East",201,-0.21448803,3
95,1008,71,5,2,13,"Urban","Type A","Unarried Female",54,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",14,"Yes","East",201,1.505029,5
96,1008,83,3,2,13,"Urban","Type A","Unarried Female",1,"Completed",3.488727228,"Yes, school/college",9,"No","K","No","Not at all","No","Yes","Yes","No","No","Somtimes",13,"No","East",201,0.01798764,3
97,1008,100,3,2,13,"Urban","Type A","Unarried Female",13,"Completed",3.488727228,"Yes, school/college",10,"Yes , madrasa"," ","Smart phone","Not at all","No","No","Yes","No","Yes","Somtimes",13,"No","East",201,-0.00052009,3
98,1008,105,3,2,13,"Urban","Type A","Unarried Female",62,"Completed",3.488727228,"Yes, madrasa",8,"Yes , madrasa"," ","No","At least once a week","No","No","Yes","No","No","Somtimes",13,"Yes","East",201,1.0804018,4
99,1008,108,3,2,13,"Urban","Type A","Unarried Female",62,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","Yes","No","Yes","Yes","No","Most of the time",14,"No","East",201,2.1466927,5
100,1008,123,4,2,13,"Urban","Type A","Unarried Female",1,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",12,"No","East",201,1.3919531,4
101,1008,128,3,2,13,"Urban","Type A","Unarried Female",1,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","No","No","No","Somtimes",14,"No","East",201,0.50420774,4
102,1008,135,3,2,13,"Urban","Type A","Unarried Female",13,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,1.3461888,4
103,1008,141,4,2,13,"Urban","Type A","Unarried Female",13,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","No","No","No","No","No","Most of the time",14,"No","East",201,2.634798,5
104,1008,151,3,2,13,"Urban","Type A","Unarried Female",54,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",14,"Yes","East",201,-0.49902034,3
105,1008,153,4,2,13,"Urban","Type A","Unarried Female",54,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Most of the time",16,"Yes","East",201,-0.34754046,3
106,1008,160,3,2,13,"Urban","Type A","Unarried Female",1,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Somtimes",14,"Yes","East",201,1.4976686,5
107,1008,166,3,2,13,"Urban","Type A","Unarried Female",1,"Completed",3.488727228,"Yes, madrasa",12,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","Yes","Yes","Always",15,"Yes","East",201,1.5636543,5
118,1010,21,3,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Somtimes",15,"Yes","East",201,-0.95918925,2
119,1010,26,3,2,13,"Urban","Type A","Unarried Female",75,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","Yes","Somtimes",12,"No","East",201,0.62254025,4
120,1010,32,8,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Somtimes",12,"No","East",201,-0.95918925,2
121,1010,71,9,2,13,"Urban","Type A","Unarried Female",73,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","Yes","Never agree",13,"Yes","East",201,3.2751612,5
122,1010,82,4,2,13,"Urban","Type A","Unarried Female",73,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,0.0679388,3
123,1010,116,3,2,13,"Urban","Type A","Unarried Female",20,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Most of the time",13,"No","East",201,-0.52467341,3
125,1010,150,5,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,0.41158668,4
126,1010,153,3,2,13,"Urban","Type A","Unarried Female",73,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Somtimes",13,"No","East",201,0.37926818,4
127,1010,165,6,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","Yes","Yes","Yes","Yes","Yes","Always",14,"No","East",201,2.2988397,5
128,1010,172,4,2,13,"Urban","Type A","Unarried Female",21,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",14,"No","East",201,0.16448213,4
129,1010,180,3,2,13,"Urban","Type A","Unarried Female",20,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Somtimes",14,"No","East",201,1.8919924,5
130,1010,180,4,2,13,"Urban","Type A","Unarried Female",20,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","No","No","No","Always",14,"No","East",201,1.8919924,5
152,1012,6,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Never agree",14,"Yes","East",202,2.0238127,5
153,1012,10,6,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",12,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","Yes","Yes","Yes","No","Somtimes",10,"No","East",202,2.1811527,5
155,1012,36,2,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","Yes","Yes","Most of the time",12,"No","East",202,2.8706848,5
156,1012,46,4,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","Yes","No","Somtimes",14,"Yes","East",202,2.2179005,5
157,1012,57,4,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","No","Yes","No","No","Somtimes",12,"No","East",202,3.9496955,5
158,1012,60,4,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",8,"Yes, school/college"," ","No","At least once a week","No","No","No","No","No","Always",14,"No","East",202,2.9987008,5
159,1012,67,4,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Never agree",12,"Yes","East",202,3.0627012,5
160,1012,70,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",7,"No","KX","No","Not at all","No","No","Yes","No","No","Somtimes",13,"No","East",202,2.2059463,5
162,1012,75,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",4,"No","H","Yes , basic mobile phone `","Not at all","No","No","No","No","No","Always",12,"No","East",202,1.4857144,5
164,1012,93,5,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","Yes","No","Always",13,"No","East",202,1.4009339,5
165,1012,112,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Never agree",13,"No","East",202,2.4945364,5
166,1012,120,3,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",2,"No","HK","Smart phone","Not at all","No","No","No","No","No","Somtimes",15,"Yes","East",202,0.55781951,4
167,1012,121,3,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",6,"No","KM","Yes , basic mobile phone `","Not at all","No","No","No","No","No","Somtimes",14,"No","East",202,0.20040428,4
168,1012,126,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","No","No","No","Yes","Always",14,"No","East",202,1.8354497,5
169,1012,133,4,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",7,"No","H","Yes , basic mobile phone `","Not at all","No","Yes","Yes","Yes","No","Always",13,"Yes","East",202,1.3690331,4
170,1012,145,7,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Most of the time",11,"No","East",202,2.1582914,5
171,1012,147,4,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","No","No","Somtimes",13,"No","East",202,2.1544261,5
186,1014,1,5,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes both",10,"No","K","No","Not at all","No","No","Yes","No","No","Always",13,"Yes","East",202,1.0631528,4
187,1014,7,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",7,"No","DK","No","Not at all","No","No","No","No","No","Most of the time",15,"No","East",202,1.4519882,5
188,1014,12,5,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, madrasa",7,"No","K","No","Not at all","No","No","Yes","No","No","Somtimes",14,"No","East",202,0.10675115,3
189,1014,35,6,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",3,"No","K","No","Not at all","No","No","Yes","No","No","Never agree",13,"No","East",202,0.43421488,4
190,1014,37,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes both",12,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","No","Yes","Always",13,"No","East",202,1.9807661,5
191,1014,42,2,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",7,"No","D","Yes , basic mobile phone `","Not at all","No","Yes","Yes","Yes","Yes","Always",11,"Yes","East",202,-0.11615217,3
192,1014,42,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",4,"No","H","Yes , basic mobile phone `","Not at all","No","No","No","No","No","Somtimes",13,"No","East",202,-0.11615217,3
193,1014,83,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes both",7,"No","H","Smart phone","Not at all","No","No","Yes","Yes","Yes","Always",12,"No","East",202,0.44187976,4
194,1014,88,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",6,"Yes, school/college"," ","No","Not at all","No","No","No","No","No","Always",12,"No","East",202,1.8656659,5
199,1014,114,2,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",1,"No","K","No","Not at all","No","No","No","No","No","Somtimes",10,"No","East",202,-0.44537566,3
201,1014,127,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",2,"No","K","No","Not at all","No","No","No","No","No","Somtimes",13,"No","East",202,0.94155698,4
220,1016,4,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",14,"No","East",202,2.7252426,5
221,1016,30,4,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","No","Yes","No","Yes","Always",13,"No","East",202,3.4144523,5
222,1016,41,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",10,"No","East",202,1.5401548,5
223,1016,56,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Somtimes",13,"No","East",202,0.27286752,4
224,1016,69,4,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",12,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","Yes","No","Always",13,"Yes","East",202,2.9738942,5
225,1016,70,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",12,"Yes, school/college"," ","Smart phone","Not at all","No","No","Yes","No","Yes","Always",13,"No","East",202,3.5639156,5
226,1016,80,6,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","No","Yes","No","No","Most of the time",11,"No","East",202,3.5767493,5
227,1016,84,7,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",12,"No","East",202,1.139645,4
228,1016,86,3,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",12,"Yes, school/college"," ","Smart phone","Not at all","No","No","Yes","Yes","Yes","Always",13,"No","East",202,2.4966471,5
229,1016,90,3,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","At least once a week","No","No","No","No","No","Somtimes",14,"Yes","East",202,2.9922132,5
230,1016,101,3,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Most of the time",12,"Yes","East",202,0.92776919,4
231,1016,126,4,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","Yes","No","Always",14,"No","East",202,2.1259197,5
232,1016,138,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","Yes","Somtimes",12,"No","East",202,2.0740855,5
233,1016,147,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",7,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Most of the time",14,"No","East",202,2.9449742,5
234,1016,153,5,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","No","No","No","Always",14,"No","East",202,2.0433858,5
248,1018,21,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","No","Yes","Always",13,"No","East",202,1.9463855,5
249,1018,51,2,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",6,"No","K","No","Not at all","No","No","No","No","No","Most of the time",13,"No","East",202,-0.29970625,3
250,1018,51,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",4,"No","K","No","Not at all","No","No","No","No","No","Most of the time",12,"No","East",202,-0.29970625,3
251,1018,52,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",2,"No","K","Smart phone","Not at all","No","No","No","No","No","Most of the time",13,"Yes","East",202,0.67699641,4
252,1018,52,5,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",1,"No","KL","Smart phone","Not at all","No","No","No","No","No","Somtimes",13,"No","East",202,0.67699641,4
253,1018,66,3,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",5,"No","HK","Yes , basic mobile phone `","Not at all","No","No","No","No","No","Somtimes",13,"No","East",202,0.33500662,4
254,1018,87,2,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",202,0.25056954,4
255,1018,98,2,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",7,"No","K","No","Not at all","No","No","No","No","No","Somtimes",12,"No","East",202,0.40778773,4
256,1018,102,5,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",9,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","No","Yes","No","No","Somtimes",13,"Yes","East",202,-0.1068457,3
257,1018,107,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",5,"No","K","No","Not at all","No","No","No","No","No","Most of the time",13,"No","East",202,1.1191922,4
259,1018,129,3,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",6,"No","K","No","Not at all","No","No","No","No","No","Most of the time",12,"No","East",202,0.5942015,4
260,1018,141,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",7,"Yes, school/college"," ","No","Not at all","No","No","No","No","No","Always",12,"No","East",202,-0.00801199,3
276,1020,13,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",3,"No","HK","No","Not at all","No","No","No","No","No","Somtimes",14,"No","East",202,0.67313111,4
277,1020,13,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",2,"No","H","No","Not at all","No","No","No","No","No","Somtimes",14,"Yes","East",202,0.67313111,4
278,1020,49,4,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",2,"No","K","No","Not at all","No","No","No","No","No","Somtimes",11,"No","East",202,-0.73184755,3
279,1020,63,3,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes both",7,"Yes, school/college"," ","Smart phone","Not at all","No","Yes","Yes","No","No","Somtimes",12,"No","East",202,0.23160728,4
281,1020,99,3,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",12,"No","East",202,0.8034409,4
282,1020,115,3,2,15,"Urban","Type A","Unarried Female",69,"Completed",0.802057296,"Yes, school/college",3,"No","MX","No","Not at all","No","No","No","No","No","Somtimes",12,"Yes","East",202,-0.44043326,3
283,1020,126,7,2,15,"Urban","Type A","Unarried Female",156,"Completed",0.802057296,"Yes, school/college",10,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","No","Yes","No","No","Always",12,"No","East",202,2.1574278,5
284,1020,129,4,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, madrasa",6,"No","HKL","No","Not at all","No","No","Yes","No","No","Somtimes",11,"No","East",202,1.2943891,4
285,1020,132,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes both",5,"No","H","Smart phone","Not at all","No","No","Yes","No","No","Never agree",13,"No","East",202,-0.65403696,3
286,1020,135,3,2,15,"Urban","Type A","Unarried Female",84,"Completed",0.802057296,"Yes, school/college",2,"No","HK","No","Not at all","No","No","No","No","No","Somtimes",13,"No","East",202,-0.56925643,3
287,1020,139,4,2,15,"Urban","Type A","Unarried Female",3,"Completed",0.802057296,"Yes, school/college",3,"No","H","No","Not at all","No","No","No","No","No","Somtimes",12,"No","East",202,-0.13234959,3
288,1020,144,3,2,15,"Urban","Type A","Unarried Female",41,"Completed",0.802057296,"Yes, school/college",4,"No","H","No","Not at all","No","No","No","No","No","Never agree",12,"No","East",202,-1.3710792,1
